Transaction Date,Invoice ID,Customer,Product,Quantity,Unit Price (GBP),Revenue (GBP),Cost (GBP),Gross Profit (GBP),Gross Margin %,Location / Region,Sales Rep,Payment Terms,Order Status,Delivery Date,Lead Time (Days)
2023-06-02,PO-11103,Northgate Engineering Ltd,Seals & Gaskets,91,199.45,18150.2,8842.14,9308.06,51.28,North,Raj Patel,Immediate,Completed,2023-06-07,5
2023-06-02,SO-11277,Pacific Offshore GmbH,Seals & Gaskets,36,76.73,2762.23,1473.37,1288.86,46.66,Germany,Sarah Okonkwo,Immediate,Completed,2023-06-06,4
2023-06-05,SO-10721,Pacific Offshore GmbH,Maintenance Kits,18,397.11,7148.03,4819.56,2328.47,32.57,Germany,Emma Thornton,Net 30,Completed,2023-06-22,17
2023-06-05,INV-11495,BritOil Downstream Services,Seals & Gaskets,18,205.6,3700.88,2175.51,1525.37,41.22,Scotland,James Whitfield,Net 60,Completed,2023-06-23,18
2023-06-06,SO-10592,Pacific Offshore GmbH,Hydraulic Fittings,2,205.31,410.62,235.92,174.7,42.55,Germany,Emma Thornton,Net 60,Completed,2023-06-17,11
2023-06-06,PO-10435,Northgate Engineering Ltd,Seals & Gaskets,83,114.3,9486.79,4585.75,4901.04,51.66,North,David Liang,Net 30,Completed,2023-06-17,11
2023-06-08,PO-10023,Northgate Engineering Ltd,Hydraulic Fittings,21,179.95,3778.89,1919.87,1859.02,49.19,North,Raj Patel,Net 30,Completed,2023-06-18,10
2023-06-08,PO-12061,Orion Subsea Ltd,Industrial Pumps,11,546.03,6006.28,3607.89,2398.39,39.93,Scotland,David Liang,Net 60,Completed,2023-06-20,12
2023-06-09,INV-11231,Pacific Offshore GmbH,Hydraulic Fittings,21,74.1,1556.18,976.66,579.52,37.24,Germany,Sarah Okonkwo,Net 45,Completed,2023-06-21,12
2023-06-12,INV-11125,Meridian Process Group,Valve Assemblies,15,530.15,7952.21,4610.48,3341.73,42.02,Wales,Sarah Okonkwo,Immediate,Completed,2023-06-17,5
2023-06-12,SO-11825,Orion Subsea Ltd,Maintenance Kits,13,371.19,4825.41,2982.18,1843.23,38.2,Scotland,Raj Patel,Immediate,Completed,2023-06-30,18
2023-06-13,INV-11104,TechCore Manufacturing,Valve Assemblies,24,155.25,3726.07,2334.19,1391.88,37.36,Cardiff,Claire Morrison,Immediate,Completed,2023-06-26,13
2023-06-15,INV-10685,BritOil Downstream Services,Industrial Pumps,114,501.2,57136.55,33441.87,23694.68,41.47,Scotland,Raj Patel,Immediate,Completed,2023-06-27,12
2023-06-15,INV-11055,TechCore Manufacturing,Maintenance Kits,26,197.27,5129.12,3540.09,1589.03,30.98,South,Raj Patel,Immediate,Completed,2023-06-17,2
2023-06-15,INV-11734,TechCore Manufacturing,Seals & Gaskets,37,206.02,7622.64,3873.05,3749.59,49.19,South,Raj Patel,Net 60,Completed,2023-06-22,7
2023-06-15,PO-10220,Apex Fluid Systems,Maintenance Kits,36,347.85,12522.54,8132.14,4390.4,35.06,Hamburg,Sarah Okonkwo,Immediate,Completed,2023-06-26,11
2023-06-16,PO-11663,Valor Industrial Partners,Industrial Pumps,41,590.25,24200.08,12953.59,11246.49,46.47,North,Raj Patel,Immediate,Completed,2023-06-19,3
2023-06-16,PO-10123,TechCore Manufacturing,Industrial Pumps,38,437.91,16640.48,10133.98,6506.5,39.1,South,David Liang,Net 30,Completed,2023-06-17,1
2023-06-19,PO-11648,BritOil Downstream Services,Hydraulic Fittings,106,163.22,17301.55,8898.03,8403.52,48.57,Manchester,James Whitfield,Net 60,Completed,2023-07-09,20
2023-06-19,PO-10949,Valor Industrial Partners,Industrial Pumps,11,531.53,5846.88,3706.47,2140.41,36.61,London,Sarah Okonkwo,Immediate,Completed,2023-06-28,9
2023-06-20,PO-10310,Northgate Engineering Ltd,Valve Assemblies,49,319.93,15676.41,10446.98,5229.43,33.36,North,Claire Morrison,Net 30,Partially Returned,2023-07-02,12
2023-06-20,INV-11246,Apex Fluid Systems,Industrial Pumps,12,469.07,5628.83,3068.58,2560.25,45.48,Inverness,Raj Patel,Net 30,Partially Returned,2023-07-08,18
2023-06-20,PO-10370,Apex Fluid Systems,Industrial Pumps,42,616.55,25895.09,15393.3,10501.79,40.56,Midlands,Claire Morrison,Immediate,Completed,2023-06-23,3
2023-06-21,SO-11812,BritOil Downstream Services,Compressor Units,106,2712.34,287508.18,178253.13,109255.05,38.0,London,David Liang,Net 60,Partially Returned,2023-06-28,7
2023-06-22,PO-12066,Northgate Engineering Ltd,Maintenance Kits,37,142.92,5288.1,3330.06,1958.04,37.03,North,Raj Patel,Net 45,Completed,2023-06-30,8
2023-06-22,SO-11387,Apex Fluid Systems,Industrial Pumps,37,471.08,17429.93,9181.17,8248.76,47.33,Midlands,Sarah Okonkwo,Immediate,Completed,2023-06-25,3
2023-06-23,SO-10571,Pacific Offshore GmbH,Industrial Pumps,31,572.67,17752.92,10493.73,7259.19,40.89,Germany,Claire Morrison,Net 45,Completed,2023-07-01,8
2023-06-23,PO-11178,Pacific Offshore GmbH,Seals & Gaskets,30,167.34,5020.17,2959.61,2060.56,41.05,Germany,James Whitfield,Immediate,Completed,2023-06-25,2
2023-06-23,PO-10355,Apex Fluid Systems,Hydraulic Fittings,27,83.95,2266.67,1408.79,857.88,37.85,Midlands,Sarah Okonkwo,Net 45,Completed,2023-07-12,19
2023-06-26,PO-11208,BritOil Downstream Services,Seals & Gaskets,55,151.63,8339.55,4188.81,4150.74,49.77,Inverness,Raj Patel,Immediate,Partially Returned,2023-07-02,6
2023-06-27,PO-10039,Northgate Engineering Ltd,Compressor Units,33,2134.64,70443.09,45698.24,24744.85,35.13,North,Raj Patel,Net 45,Completed,2023-07-12,15
2023-06-27,PO-10907,BritOil Downstream Services,Seals & Gaskets,98,124.57,12208.27,6298.75,5909.52,48.41,Cardiff,David Liang,Net 60,Completed,2023-07-08,11
2023-06-28,INV-12045,Northgate Engineering Ltd,Seals & Gaskets,113,201.57,22777.91,11201.29,11576.62,50.82,North,Emma Thornton,Net 45,Completed,2023-07-10,12
2023-06-29,SO-11781,Northgate Engineering Ltd,Valve Assemblies,88,517.55,45544.27,28418.48,17125.79,37.6,North,James Whitfield,Net 60,Completed,2023-07-19,20
2023-06-29,PO-11060,Pacific Offshore GmbH,Valve Assemblies,31,256.83,7961.83,5295.88,2665.95,33.48,Germany,David Liang,Net 30,Completed,2023-07-06,7
2023-06-29,PO-10034,BritOil Downstream Services,Maintenance Kits,69,126.57,8733.4,5833.2,2900.2,33.21,Scotland,Claire Morrison,Net 30,Completed,2023-07-08,9
2023-06-29,PO-12057,Northgate Engineering Ltd,Industrial Pumps,16,554.85,8877.67,5363.8,3513.87,39.58,Cardiff,Sarah Okonkwo,Net 60,Completed,2023-07-18,19
2023-06-30,SO-11213,Northgate Engineering Ltd,Hydraulic Fittings,54,84.38,4556.74,2310.69,2246.05,49.29,Hamburg,Emma Thornton,Net 45,Completed,2023-07-03,3
2023-06-30,SO-11580,BritOil Downstream Services,Seals & Gaskets,42,144.84,6083.08,5994.83,88.25,1.45,Scotland,Sarah Okonkwo,Net 60,Completed,2023-07-01,1
2023-07-03,INV-10246,Apex Fluid Systems,Seals & Gaskets,36,107.56,3872.17,1946.68,1925.49,49.73,Hamburg,Claire Morrison,Net 30,Completed,2023-07-22,19
2023-07-05,SO-11067,Northgate Engineering Ltd,Compressor Units,20,1703.04,34060.88,24089.77,9971.11,29.27,North,Emma Thornton,Net 45,Completed,2023-07-10,5
2023-07-10,PO-10976,Apex Fluid Systems,Maintenance Kits,4,221.58,886.31,513.46,372.85,42.07,Midlands,David Liang,Net 30,Completed,2023-07-27,17
2023-07-11,SO-11408,Apex Fluid Systems,Maintenance Kits,20,112.67,2253.35,1283.61,969.74,43.04,Sheffield,Claire Morrison,Immediate,Completed,2023-07-15,4
2023-07-11,PO-10799,BritOil Downstream Services,Seals & Gaskets,55,91.04,5006.97,2565.04,2441.93,48.77,Scotland,Sarah Okonkwo,Net 30,Completed,2023-07-25,14
2023-07-12,PO-11849,TechCore Manufacturing,Industrial Pumps,27,551.68,14895.47,7902.83,6992.64,46.94,South,Claire Morrison,Net 30,Completed,2023-07-31,19
2023-07-13,SO-10833,Northgate Engineering Ltd,Industrial Pumps,104,333.01,34633.49,18255.56,16377.93,47.29,North,Emma Thornton,Net 30,Completed,2023-07-24,11
2023-07-14,PO-11143,BritOil Downstream Services,Industrial Pumps,43,590.65,25398.12,13377.61,12020.51,47.33,Scotland,Claire Morrison,Immediate,Completed,2023-07-26,12
2023-07-18,SO-10226,BritOil Downstream Services,Compressor Units,114,1436.25,163732.45,117140.73,46591.72,28.46,Birmingham,Claire Morrison,Net 30,Completed,2023-07-31,13
2023-07-18,INV-10221,Pacific Offshore GmbH,Industrial Pumps,4,278.44,1113.76,675.15,438.61,39.38,Germany,Raj Patel,Net 30,Completed,2023-08-01,14
2023-07-19,PO-11244,Orion Subsea Ltd,Hydraulic Fittings,11,33.66,370.31,230.07,140.24,37.87,Scotland,Claire Morrison,Net 45,Completed,2023-07-28,9
2023-07-19,INV-10024,Apex Fluid Systems,Industrial Pumps,8,320.42,2563.37,1594.06,969.31,37.81,Midlands,Emma Thornton,Net 60,Partially Returned,2023-08-08,20
2023-07-20,PO-11030,Northgate Engineering Ltd,Industrial Pumps,38,298.47,11341.81,7015.3,4326.51,38.15,North,David Liang,Immediate,Completed,2023-07-25,5
2023-07-20,SO-10889,BritOil Downstream Services,Seals & Gaskets,62,75.88,4704.42,2536.24,2168.18,46.09,Scotland,Emma Thornton,Net 60,Completed,2023-08-01,12
2023-07-20,PO-11880,BritOil Downstream Services,Industrial Pumps,13,348.64,4532.27,2749.73,1782.54,39.33,Scotland,Claire Morrison,Net 30,Completed,2023-07-30,10
2023-07-21,INV-11154,Northgate Engineering Ltd,Seals & Gaskets,97,46.2,4481.25,2232.02,2249.23,50.19,North,Claire Morrison,Immediate,Completed,2023-08-03,13
2023-07-21,INV-11307,Orion Subsea Ltd,Seals & Gaskets,15,76.78,1151.72,641.7,510.02,44.28,Aberdeen,James Whitfield,Net 45,Completed,2023-08-08,18
2023-07-24,INV-10108,TechCore Manufacturing,Maintenance Kits,4,118.88,475.54,271.0,204.54,43.01,South,Raj Patel,Net 45,Completed,2023-08-13,20
2023-07-24,SO-11709,Pacific Offshore GmbH,Maintenance Kits,19,261.24,4963.5,3198.88,1764.62,35.55,Birmingham,Claire Morrison,Net 30,Completed,2023-07-29,5
2023-07-25,INV-10620,BritOil Downstream Services,Seals & Gaskets,79,108.82,8597.17,5323.69,3273.48,38.08,Scotland,Raj Patel,Immediate,Completed,2023-07-30,5
2023-07-25,INV-10096,Northgate Engineering Ltd,Maintenance Kits,57,186.89,10652.68,6391.49,4261.19,40.0,North,Emma Thornton,Immediate,Completed,2023-07-29,4
2023-07-26,PO-11510,Apex Fluid Systems,Maintenance Kits,27,130.51,3523.81,1987.92,1535.89,43.59,Midlands,Sarah Okonkwo,Net 45,Completed,2023-08-10,15
2023-07-27,SO-10077,Meridian Process Group,Industrial Pumps,5,483.68,2418.38,2254.36,164.02,6.78,Wales,Sarah Okonkwo,Net 45,Completed,2023-08-02,6
2023-07-31,SO-11830,Orion Subsea Ltd,Maintenance Kits,3,169.17,507.5,330.87,176.63,34.8,Scotland,Claire Morrison,Net 45,Refunded,2023-08-13,13
2023-07-31,PO-10325,Northgate Engineering Ltd,Industrial Pumps,12,393.21,4718.5,2509.15,2209.35,46.82,North,James Whitfield,Net 60,Completed,2023-08-14,14
2023-07-31,PO-11968,Apex Fluid Systems,Compressor Units,23,2146.93,49379.34,33340.1,16039.24,32.48,Midlands,Emma Thornton,Net 60,Completed,2023-08-02,2
2023-08-01,PO-11001,BritOil Downstream Services,Industrial Pumps,73,368.62,26909.43,16738.7,10170.73,37.8,London,Emma Thornton,Net 60,Completed,2023-08-19,18
2023-08-02,SO-12023,Apex Fluid Systems,Seals & Gaskets,41,164.67,6751.42,3970.46,2780.96,41.19,Midlands,Claire Morrison,Net 30,Completed,2023-08-20,18
2023-08-02,SO-10762,Northgate Engineering Ltd,Hydraulic Fittings,83,50.53,4194.35,2175.87,2018.48,48.12,London,Raj Patel,Immediate,Partially Returned,2023-08-06,4
2023-08-02,INV-11870,Northgate Engineering Ltd,Seals & Gaskets,78,63.5,4952.76,2392.54,2560.22,51.69,North,Claire Morrison,Net 60,Completed,2023-08-10,8
2023-08-02,SO-10453,Apex Fluid Systems,Valve Assemblies,41,447.93,18364.98,10638.47,7726.51,42.07,Midlands,Raj Patel,Net 60,Completed,2023-08-20,18
2023-08-04,PO-11985,Meridian Process Group,Seals & Gaskets,24,139.97,3359.17,1759.09,1600.08,47.63,Wales,James Whitfield,Net 45,Completed,2023-08-17,13
2023-08-04,SO-11187,Meridian Process Group,Industrial Pumps,20,431.0,8619.94,4541.18,4078.76,47.32,Wales,David Liang,Net 45,Completed,2023-08-24,20
2023-08-04,SO-10981,Northgate Engineering Ltd,Maintenance Kits,84,141.72,11904.77,6927.09,4977.68,41.81,Inverness,Sarah Okonkwo,Net 45,Completed,2023-08-09,5
2023-08-04,SO-10366,TechCore Manufacturing,Industrial Pumps,15,465.11,6976.6,4008.01,2968.59,42.55,South,Raj Patel,Immediate,Completed,2023-08-06,2
2023-08-07,PO-11817,Pacific Offshore GmbH,Industrial Pumps,10,603.73,6037.3,3690.0,2347.3,38.88,Germany,Claire Morrison,Immediate,Completed,2023-08-26,19
2023-08-10,INV-11165,Northgate Engineering Ltd,Compressor Units,52,1944.16,101096.09,59831.04,41265.05,40.82,North,David Liang,Immediate,Partially Returned,2023-08-16,6
2023-08-11,SO-10110,Apex Fluid Systems,Seals & Gaskets,11,68.29,751.15,379.09,372.06,49.53,Manchester,David Liang,Net 45,Completed,2023-08-15,4
2023-08-11,PO-11696,Northgate Engineering Ltd,Industrial Pumps,96,413.42,39688.64,24038.26,15650.38,39.43,North,Emma Thornton,Net 30,Completed,2023-08-29,18
2023-08-11,INV-11827,Apex Fluid Systems,Industrial Pumps,16,447.13,7154.08,3863.31,3290.77,46.0,Midlands,Sarah Okonkwo,Net 60,Completed,2023-08-30,19
2023-08-14,PO-11889,Meridian Process Group,Valve Assemblies,9,232.44,2091.97,1319.15,772.82,36.94,Wales,David Liang,Net 30,Completed,2023-09-02,19
2023-08-18,SO-11912,Pacific Offshore GmbH,Valve Assemblies,30,430.25,12907.51,7774.89,5132.62,39.76,Germany,David Liang,Immediate,Completed,2023-08-28,10
2023-08-18,PO-11278,BritOil Downstream Services,Seals & Gaskets,37,119.0,4403.02,2643.6,1759.42,39.96,Scotland,Emma Thornton,Net 30,Completed,2023-08-29,11
2023-08-18,PO-10444,Pacific Offshore GmbH,Maintenance Kits,8,162.2,1297.57,875.66,421.91,32.52,Germany,Sarah Okonkwo,Net 60,Completed,2023-08-21,3
2023-08-18,INV-10074,Meridian Process Group,Maintenance Kits,17,211.31,3592.34,2307.94,1284.4,35.75,Wales,Sarah Okonkwo,Net 60,Completed,2023-08-20,2
2023-08-21,SO-10175,Orion Subsea Ltd,Seals & Gaskets,10,142.35,1423.52,872.39,551.13,38.72,Scotland,David Liang,Immediate,Completed,2023-08-30,9
2023-08-21,PO-11415,BritOil Downstream Services,Seals & Gaskets,49,120.34,5896.73,3575.62,2321.11,39.36,Scotland,Claire Morrison,Net 60,Completed,2023-08-24,3
2023-08-22,SO-11372,Pacific Offshore GmbH,Maintenance Kits,16,298.93,4782.95,2799.66,1983.29,41.47,Germany,Claire Morrison,Net 30,Completed,2023-09-11,20
2023-08-22,SO-10455,Northgate Engineering Ltd,Industrial Pumps,78,401.64,31327.67,19715.79,11611.88,37.07,Birmingham,David Liang,Immediate,Completed,2023-09-01,10
2023-08-23,PO-10387,Apex Fluid Systems,Seals & Gaskets,9,100.11,901.02,514.41,386.61,42.91,Midlands,Sarah Okonkwo,Immediate,Completed,2023-08-31,8
2023-08-24,SO-12052,BritOil Downstream Services,Maintenance Kits,23,296.91,6829.04,4424.63,2404.41,35.21,Scotland,Emma Thornton,Net 30,Completed,2023-09-01,8
2023-08-24,SO-10872,Northgate Engineering Ltd,Seals & Gaskets,19,60.55,1150.36,653.43,496.93,43.2,North,Raj Patel,Net 30,Completed,2023-09-02,9
2023-08-24,PO-10837,Northgate Engineering Ltd,Hydraulic Fittings,48,41.19,1976.95,1162.05,814.9,41.22,Hamburg,Sarah Okonkwo,Net 30,Completed,2023-08-26,2
2023-08-28,SO-11505,Northgate Engineering Ltd,Seals & Gaskets,16,145.52,2328.27,1131.53,1196.74,51.4,Aberdeen,Emma Thornton,Net 45,Completed,2023-09-05,8
2023-08-28,PO-11978,Apex Fluid Systems,Valve Assemblies,41,448.59,18392.13,10577.91,7814.22,42.49,Midlands,Sarah Okonkwo,Net 45,Completed,2023-08-30,2
2023-08-29,SO-10942,Meridian Process Group,Industrial Pumps,15,359.36,5390.45,2926.98,2463.47,45.7,Wales,Emma Thornton,Net 45,Completed,2023-09-04,6
2023-08-30,INV-10452,Apex Fluid Systems,Hydraulic Fittings,29,190.07,5511.94,2932.21,2579.73,46.8,Aberdeen,Emma Thornton,Net 60,Completed,2023-08-31,1
2023-08-30,SO-10153,Apex Fluid Systems,Industrial Pumps,42,509.92,21416.75,13035.55,8381.2,39.13,Midlands,James Whitfield,Net 30,Refunded,2023-09-17,18
2023-08-30,SO-11517,TechCore Manufacturing,Maintenance Kits,15,305.37,4580.56,2895.63,1684.93,36.78,South,David Liang,Net 60,Completed,2023-09-01,2
2023-09-06,PO-10658,Northgate Engineering Ltd,Seals & Gaskets,94,94.52,8884.6,5168.66,3715.94,41.82,North,Raj Patel,Net 60,Partially Returned,2023-09-14,8
2023-09-06,SO-11202,Northgate Engineering Ltd,Valve Assemblies,23,263.74,6066.04,3771.84,2294.2,37.82,North,Claire Morrison,Net 60,Completed,2023-09-23,17
2023-09-07,PO-10422,Apex Fluid Systems,Industrial Pumps,39,566.18,22080.92,12373.11,9707.81,43.96,Midlands,Raj Patel,Net 30,Completed,2023-09-08,1
2023-09-08,SO-10281,Meridian Process Group,Industrial Pumps,36,615.74,22166.52,13651.87,8514.65,38.41,Wales,Sarah Okonkwo,Immediate,Completed,2023-09-25,17
2023-09-12,SO-11466,Apex Fluid Systems,Valve Assemblies,5,388.29,1941.44,1232.66,708.78,36.51,Midlands,James Whitfield,Net 60,Completed,2023-09-18,6
2023-09-13,PO-11955,TechCore Manufacturing,Industrial Pumps,39,332.69,12974.83,7004.29,5970.54,46.02,South,David Liang,Net 60,Completed,2023-09-14,1
2023-09-13,SO-10275,Orion Subsea Ltd,Valve Assemblies,5,132.43,662.16,389.88,272.28,41.12,Scotland,Raj Patel,Net 30,Completed,2023-09-30,17
2023-09-13,INV-10165,Orion Subsea Ltd,Seals & Gaskets,39,63.64,2481.87,1193.61,1288.26,51.91,Scotland,Claire Morrison,Immediate,Completed,2023-09-29,16
2023-09-14,INV-11442,Pacific Offshore GmbH,Compressor Units,10,2184.38,21843.75,14384.03,7459.72,34.15,Birmingham,Claire Morrison,Net 30,Completed,2023-09-26,12
2023-09-14,SO-10749,Apex Fluid Systems,Hydraulic Fittings,33,129.75,4281.85,2263.65,2018.2,47.13,Midlands,Emma Thornton,Immediate,Completed,2023-09-23,9
2023-09-14,INV-10534,Northgate Engineering Ltd,Maintenance Kits,97,175.51,17024.56,11423.84,5600.72,32.9,North,Raj Patel,Immediate,Partially Returned,2023-09-30,16
2023-09-19,INV-11108,Pacific Offshore GmbH,Seals & Gaskets,4,104.85,419.39,237.07,182.32,43.47,Cardiff,Emma Thornton,Net 30,Completed,2023-09-28,9
2023-09-20,SO-11380,BritOil Downstream Services,Seals & Gaskets,77,173.54,13362.91,7928.89,5434.02,40.66,London,David Liang,Immediate,Partially Returned,2023-10-09,19
2023-09-21,PO-10446,Apex Fluid Systems,Seals & Gaskets,39,45.7,1782.34,1063.17,719.17,40.35,Midlands,Claire Morrison,Net 45,Completed,2023-09-23,2
2023-09-21,SO-10315,Northgate Engineering Ltd,Maintenance Kits,21,93.58,1965.15,1150.28,814.87,41.47,North,Sarah Okonkwo,Immediate,Refunded,2023-09-24,3
2023-09-22,SO-11432,BritOil Downstream Services,Valve Assemblies,28,445.11,12463.12,13555.4,-1092.28,-8.76,Scotland,James Whitfield,Net 45,Partially Returned,2023-09-26,4
2023-09-22,INV-11413,Northgate Engineering Ltd,Seals & Gaskets,63,57.69,3634.76,1784.04,1850.72,50.92,North,David Liang,Net 60,Completed,2023-09-26,4
2023-09-25,PO-10925,BritOil Downstream Services,Compressor Units,109,1693.71,184614.83,114154.73,70460.1,38.17,Scotland,Emma Thornton,Immediate,Completed,2023-10-10,15
2023-09-25,PO-10774,Apex Fluid Systems,Industrial Pumps,6,375.32,2251.92,1252.41,999.51,44.38,Midlands,Claire Morrison,Net 60,Completed,2023-10-11,16
2023-09-25,INV-11754,Northgate Engineering Ltd,Seals & Gaskets,16,126.77,2028.27,1215.46,812.81,40.07,North,Claire Morrison,Net 30,Refunded,2023-09-27,2
2023-09-28,INV-10724,BritOil Downstream Services,Hydraulic Fittings,76,38.09,2894.95,1605.84,1289.11,44.53,Scotland,Emma Thornton,Immediate,Refunded,2023-10-16,18
2023-09-28,SO-10212,Northgate Engineering Ltd,Seals & Gaskets,69,88.48,6105.13,6498.32,-393.19,-6.44,Inverness,Sarah Okonkwo,Net 30,Completed,2023-10-03,5
2023-09-29,SO-11226,Orion Subsea Ltd,Compressor Units,15,1090.07,16350.99,10253.99,6097.0,37.29,Scotland,Claire Morrison,Net 45,Completed,2023-10-08,9
2023-09-29,INV-11878,Apex Fluid Systems,Seals & Gaskets,42,135.43,5687.99,2996.87,2691.12,47.31,Midlands,James Whitfield,Immediate,Completed,2023-10-18,19
2023-09-29,INV-11773,Pacific Offshore GmbH,Industrial Pumps,36,602.12,21676.27,13521.02,8155.25,37.62,Germany,David Liang,Net 45,Completed,2023-10-12,13
2023-10-02,INV-11313,BritOil Downstream Services,Seals & Gaskets,47,163.42,7680.87,3952.76,3728.11,48.54,Hamburg,Sarah Okonkwo,Immediate,Completed,2023-10-21,19
2023-10-02,SO-10127,Apex Fluid Systems,Maintenance Kits,13,314.17,4084.19,3653.12,431.07,10.55,Midlands,David Liang,Net 30,Completed,2023-10-16,14
2023-10-02,PO-11411,Northgate Engineering Ltd,Maintenance Kits,17,180.64,3070.84,1697.07,1373.77,44.74,North,Emma Thornton,Immediate,Partially Returned,2023-10-11,9
2023-10-03,SO-10854,Apex Fluid Systems,Valve Assemblies,7,575.66,4029.65,4379.62,-349.97,-8.68,Midlands,David Liang,Net 30,Completed,2023-10-08,5
2023-10-05,PO-10265,Pacific Offshore GmbH,Seals & Gaskets,26,169.42,4404.95,2123.17,2281.78,51.8,Germany,David Liang,Net 45,Completed,2023-10-18,13
2023-10-06,INV-11323,BritOil Downstream Services,Compressor Units,49,2052.99,100596.46,58881.35,41715.11,41.47,Scotland,James Whitfield,Net 30,Refunded,2023-10-14,8
2023-10-06,INV-11314,BritOil Downstream Services,Valve Assemblies,69,376.66,25989.29,14428.16,11561.13,44.48,Inverness,Sarah Okonkwo,Net 30,Completed,2023-10-15,9
2023-10-06,INV-11531,Valor Industrial Partners,Hydraulic Fittings,7,79.21,554.49,350.42,204.07,36.8,North,Emma Thornton,Net 45,Completed,2023-10-08,2
2023-10-06,INV-10745,Northgate Engineering Ltd,Hydraulic Fittings,99,197.73,19574.95,11387.61,8187.34,41.83,North,Sarah Okonkwo,Immediate,Completed,2023-10-09,3
2023-10-09,PO-11905,Valor Industrial Partners,Industrial Pumps,17,544.37,9254.27,5528.73,3725.54,40.26,North,Raj Patel,Immediate,Partially Returned,2023-10-25,16
2023-10-09,SO-11915,Northgate Engineering Ltd,Hydraulic Fittings,27,76.15,2056.08,1303.16,752.92,36.62,North,James Whitfield,Net 30,Completed,2023-10-13,4
2023-10-10,PO-10975,BritOil Downstream Services,Hydraulic Fittings,84,210.98,17722.33,9436.28,8286.05,46.75,Sheffield,Sarah Okonkwo,Net 30,Completed,2023-10-30,20
2023-10-12,PO-10441,BritOil Downstream Services,Maintenance Kits,97,231.03,22409.59,13398.52,9011.07,40.21,Hamburg,Raj Patel,Net 30,Partially Returned,2023-10-22,10
2023-10-12,PO-11489,TechCore Manufacturing,Maintenance Kits,27,382.48,10326.84,6015.45,4311.39,41.75,South,Emma Thornton,Net 30,Partially Returned,2023-10-18,6
2023-10-13,PO-11425,Northgate Engineering Ltd,Maintenance Kits,35,385.37,13488.11,8187.72,5300.39,39.3,North,Claire Morrison,Immediate,Completed,2023-10-17,4
2023-10-17,INV-11316,Orion Subsea Ltd,Valve Assemblies,31,492.54,15268.61,9001.16,6267.45,41.05,Scotland,Raj Patel,Immediate,Completed,2023-10-25,8
2023-10-17,PO-11044,Northgate Engineering Ltd,Industrial Pumps,57,399.79,22787.83,13746.24,9041.59,39.68,North,James Whitfield,Net 45,Completed,2023-10-18,1
2023-10-18,PO-12038,Northgate Engineering Ltd,Compressor Units,21,2381.51,50011.8,35164.27,14847.53,29.69,North,Raj Patel,Net 60,Completed,2023-10-23,5
2023-10-18,SO-10827,Northgate Engineering Ltd,Compressor Units,74,2322.92,171896.06,122571.58,49324.48,28.69,North,James Whitfield,Net 60,Completed,2023-11-04,17
2023-10-19,SO-11343,Northgate Engineering Ltd,Valve Assemblies,50,446.84,22341.88,14637.62,7704.26,34.48,North,James Whitfield,Immediate,Completed,2023-11-04,16
2023-10-24,INV-11379,Apex Fluid Systems,Maintenance Kits,30,185.7,5570.98,6041.78,-470.8,-8.45,Midlands,David Liang,Net 45,Completed,2023-10-30,6
2023-10-25,PO-11458,Apex Fluid Systems,Industrial Pumps,22,366.79,8069.43,4398.23,3671.2,45.5,Midlands,Raj Patel,Immediate,Completed,2023-11-01,7
2023-10-25,SO-12017,Apex Fluid Systems,Seals & Gaskets,33,88.26,2912.74,1653.7,1259.04,43.23,Midlands,Emma Thornton,Net 60,Completed,2023-10-28,3
2023-10-30,PO-10995,BritOil Downstream Services,Hydraulic Fittings,19,52.32,994.05,617.22,376.83,37.91,Manchester,Raj Patel,Immediate,Completed,2023-11-05,6
2023-10-31,SO-11354,BritOil Downstream Services,Industrial Pumps,71,601.58,42712.41,24587.34,18125.07,42.44,Scotland,Claire Morrison,Immediate,Completed,2023-11-05,5
2023-10-31,INV-11656,Northgate Engineering Ltd,Maintenance Kits,72,164.69,11857.9,7073.69,4784.21,40.35,North,Raj Patel,Net 45,Completed,2023-11-17,17
2023-10-31,PO-10141,Pacific Offshore GmbH,Industrial Pumps,10,633.95,6339.54,3527.75,2811.79,44.35,Germany,Raj Patel,Immediate,Completed,2023-11-10,10
2023-10-31,INV-11957,Apex Fluid Systems,Industrial Pumps,13,566.08,7359.08,4331.04,3028.04,41.15,Sheffield,Claire Morrison,Net 30,Completed,2023-11-10,10
2023-11-02,PO-10348,Meridian Process Group,Industrial Pumps,28,619.83,17355.23,10141.4,7213.83,41.57,Aberdeen,Sarah Okonkwo,Net 45,Completed,2023-11-04,2
2023-11-03,SO-10296,Pacific Offshore GmbH,Hydraulic Fittings,26,157.97,4107.34,2328.21,1779.13,43.32,Germany,James Whitfield,Immediate,Refunded,2023-11-14,11
2023-11-03,PO-10320,Meridian Process Group,Industrial Pumps,23,513.46,11809.64,11266.14,543.5,4.6,Wales,Claire Morrison,Net 45,Refunded,2023-11-17,14
2023-11-03,PO-11337,Northgate Engineering Ltd,Maintenance Kits,75,379.27,28445.39,18196.92,10248.47,36.03,North,Emma Thornton,Net 60,Completed,2023-11-11,8
2023-11-06,PO-10524,TechCore Manufacturing,Industrial Pumps,40,666.61,26664.57,14355.94,12308.63,46.16,South,Emma Thornton,Immediate,Completed,2023-11-26,20
